Pattern,MajorityNext5
00000,Rise
00001,Rise
00002,Rise
00003,Rise
00004,Rise
00005,Rise
00006,Rise
00007,Rise
00008,Rise
00009,Fall
00010,Rise
00011,Rise
00012,Rise
00013,Rise
00014,Rise
00015,Rise
00016,Rise
00017,Rise
00018,Rise
00019,Fall
00020,Rise
00021,Rise
00022,Rise
00023,Rise
00024,Rise
00025,Rise
00026,Rise
00027,Rise
00028,Rise
00029,Fall
00030,Rise
00031,Rise
00032,Rise
00033,Rise
00034,Rise
00035,Rise
00036,Rise
00037,Rise
00038,Rise
00039,Fall
00040,Equal
00041,Rise
00042,Rise
00043,Rise
00044,Rise
00045,Rise
00046,Rise
00047,Rise
00048,Rise
00049,Fall
00050,Fall
00051,Rise
00052,Rise
00053,Rise
00054,Rise
00055,Rise
00056,Rise
00057,Rise
00058,Rise
00059,Fall
00060,Fall
00061,Rise
00062,Rise
00063,Rise
00064,Rise
00065,Rise
00066,Rise
00067,Rise
00068,Rise
00069,Fall
00070,Fall
00071,Rise
00072,Rise
00073,Rise
00074,Rise
00075,Rise
00076,Rise
00077,Rise
00078,Rise
00079,Fall
00080,Fall
00081,Equal
00082,Rise
00083,Rise
00084,Rise
00085,Rise
00086,Rise
00087,Rise
00088,Rise
00089,Fall
00090,Fall
00091,Fall
00092,Rise
00093,Rise
00094,Rise
00095,Rise
00096,Rise
00097,Rise
00098,Rise
00099,Fall
00100,Rise
00101,Rise
00102,Rise
00103,Rise
00104,Rise
00105,Rise
00106,Rise
00107,Rise
00108,Rise
00109,Fall
00110,Rise
00111,Rise
00112,Rise
00113,Rise
00114,Rise
00115,Rise
00116,Rise
00117,Rise
00118,Rise
00119,Fall
00120,Rise
00121,Rise
00122,Rise
00123,Rise
00124,Rise
00125,Rise
00126,Rise
00127,Rise
00128,Rise
00129,Fall
00130,Equal
00131,Rise
00132,Rise
00133,Rise
00134,Rise
00135,Rise
00136,Rise
00137,Rise
00138,Rise
00139,Fall
00140,Fall
00141,Rise
00142,Rise
00143,Rise
00144,Rise
00145,Rise
00146,Rise
00147,Rise
00148,Rise
00149,Fall
00150,Fall
00151,Rise
00152,Rise
00153,Rise
00154,Rise
00155,Rise
00156,Rise
00157,Rise
00158,Rise
00159,Fall
00160,Fall
00161,Rise
00162,Rise
00163,Rise
00164,Rise
00165,Rise
00166,Rise
00167,Rise
00168,Rise
00169,Fall
00170,Fall
00171,Equal
00172,Rise
00173,Rise
00174,Rise
00175,Rise
00176,Rise
00177,Rise
00178,Rise
00179,Fall
00180,Fall
00181,Fall
00182,Rise
00183,Rise
00184,Rise
00185,Rise
00186,Rise
00187,Rise
00188,Rise
00189,Fall
00190,Fall
00191,Fall
00192,Rise
00193,Rise
00194,Rise
00195,Rise
00196,Rise
00197,Rise
00198,Rise
00199,Fall
00200,Rise
00201,Rise
00202,Rise
00203,Rise
00204,Rise
00205,Rise
00206,Rise
00207,Rise
00208,Rise
00209,Fall
00210,Rise
00211,Rise
00212,Rise
00213,Rise
00214,Rise
00215,Rise
00216,Rise
00217,Rise
00218,Rise
00219,Fall
00220,Equal
00221,Rise
00222,Rise
00223,Rise
00224,Rise
00225,Rise
00226,Rise
00227,Rise
00228,Rise
00229,Fall
00230,Fall
00231,Rise
00232,Rise
00233,Rise
00234,Rise
